Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-04T03:07:46Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:08:43Z,1,00:13,19:47,Shot,Slap Shot,-46.0,-2.0,Ryan Reaves,Shooter,Vegas Golden Knights,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:08:54Z,1,00:24,19:36,Hit,n/a,41.0,-41.0,Jesper Boqvist,Hitter,New Jersey Devils,Nick Holden,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:17:12Z,1,00:30,19:30,Takeaway,n/a,29.0,-41.0,Jesper Boqvist,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:09:04Z,1,00:34,19:26,Shot,Wrist Shot,68.0,14.0,Travis Zajac,Shooter,New Jersey Devils,Robin Lehner,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:17:12Z,1,00:35,19:25,Faceoff,n/a,69.0,22.0,Nicolas Roy,Winner,Vegas Golden Knights,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:09:58Z,1,00:45,19:15,Faceoff,n/a,-69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:10:22Z,1,00:51,19:09,Takeaway,n/a,-41.0,40.0,Nate Schmidt,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:10:25Z,1,00:56,19:04,Shot,Snap Shot,-78.0,-16.0,Max Pacioretty,Shooter,Vegas Golden Knights,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:10:26Z,1,00:58,19:02,Giveaway,n/a,-98.0,0.0,P.K. Subban,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:11:52Z,1,02:23,17:37,Hit,n/a,-33.0,-41.0,Connor Carrick,Hitter,New Jersey Devils,Nick Cousins,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-04T03:11:58Z,1,02:29,17:31,Hit,n/a,-99.0,14.0,Josh Jacobs,Hitter,New Jersey Devils,Chandler Stephenson,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
