Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-05T03:37:54Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:38:09Z,1,00:06,19:54,Hit,n/a,23.0,42.0,Oliver Ekman-Larsson,Hitter,Arizona Coyotes,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:38:16Z,1,00:13,19:47,Hit,n/a,-98.0,13.0,Loui Eriksson,Hitter,Vancouver Canucks,Ilya Lyubushkin,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:38:33Z,1,00:28,19:32,Hit,n/a,86.0,-35.0,Bo Horvat,Hitter,Vancouver Canucks,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:38:36Z,1,00:31,19:29,Shot,Wrist Shot,38.0,-22.0,Niklas Hjalmarsson,Shooter,Arizona Coyotes,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:38:52Z,1,00:31,19:29,Faceoff,n/a,69.0,-22.0,Derek Stepan,Winner,Arizona Coyotes,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:39:09Z,1,00:38,19:22,Blocked Shot,n/a,73.0,-19.0,Alexander Edler,Blocker,Vancouver Canucks,Lawson Crouse,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:39:15Z,1,00:44,19:16,Giveaway,n/a,41.0,31.0,Jake Virtanen,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:39:33Z,1,01:02,18:58,Blocked Shot,n/a,51.0,25.0,Troy Stecher,Blocker,Vancouver Canucks,Lawson Crouse,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:40:13Z,1,01:26,18:34,Faceoff,n/a,-69.0,22.0,Adam Gaudette,Winner,Vancouver Canucks,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:40:38Z,1,01:34,18:26,Blocked Shot,n/a,-67.0,3.0,Brad Richardson,Blocker,Arizona Coyotes,Jordie Benn,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:40:54Z,1,01:50,18:10,Blocked Shot,n/a,48.0,21.0,Zack MacEwen,Blocker,Vancouver Canucks,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:41:15Z,1,01:51,18:09,Faceoff,n/a,69.0,22.0,J.T. Miller,Winner,Vancouver Canucks,Conor Garland,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:41:36Z,1,01:56,18:04,Shot,Wrist Shot,38.0,1.0,Phil Kessel,Shooter,Arizona Coyotes,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T03:41:53Z,1,02:12,17:48,Hit,n/a,-97.0,10.0,Tyler Toffoli,Hitter,Vancouver Canucks,Barrett Hayton,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
