Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-05T00:10:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:11:08Z,1,00:29,19:31,Missed Shot,n/a,-29.0,2.0,Alex Ovechkin,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:11:31Z,1,00:50,19:10,Blocked Shot,n/a,-82.0,-7.0,Travis Sanheim,Blocker,Philadelphia Flyers,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:11:38Z,1,00:59,19:01,Giveaway,n/a,-63.0,39.0,T.J. Oshie,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:12:01Z,1,01:08,18:52,Penalty,Interference,51.0,-38.0,Scott Laughton,PenaltyOn,Philadelphia Flyers,T.J. Oshie,DrewBy,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:12:31Z,1,01:08,18:52,Faceoff,n/a,-69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,T.J. Oshie,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:13:10Z,1,01:51,18:09,Shot,Wrist Shot,-80.0,8.0,Jakub Vrana,Shooter,Washington Capitals,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:13:43Z,1,01:52,18:08,Faceoff,n/a,-69.0,22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Derek Grant,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:13:50Z,1,01:58,18:02,Hit,n/a,-80.0,38.0,Ivan Provorov,Hitter,Philadelphia Flyers,Evgeny Kuznetsov,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:14:24Z,1,02:32,17:28,Blocked Shot,n/a,-67.0,-16.0,Matt Niskanen,Blocker,Philadelphia Flyers,Alex Ovechkin,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-05T00:14:53Z,1,03:01,16:59,Shot,Wrist Shot,-21.0,39.0,Michael Raffl,Shooter,Philadelphia Flyers,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
