Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T00:07:34Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sidney Crosby,Winner,Pittsburgh Penguins,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:09:17Z,1,00:55,19:05,Giveaway,n/a,-19.0,-38.0,John Marino,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:03Z,1,01:47,18:13,Hit,n/a,-68.0,-40.0,Curtis Lazar,Hitter,Buffalo Sabres,Nick Bjugstad,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:25Z,1,02:03,17:57,Takeaway,n/a,-47.0,37.0,Brandon Tanev,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:23Z,1,02:06,17:54,Shot,Wrist Shot,-79.0,1.0,Brandon Tanev,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:38Z,1,02:22,17:38,Hit,n/a,38.0,41.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Jimmy Vesey,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:22Z,1,03:06,16:54,Hit,n/a,90.0,-33.0,Kyle Okposo,Hitter,Buffalo Sabres,Justin Schultz,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:48Z,1,03:32,16:28,Shot,Wrist Shot,-82.0,28.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:57Z,1,03:40,16:20,Missed Shot,n/a,-37.0,-23.0,John Marino,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:26Z,1,04:09,15:51,Blocked Shot,n/a,54.0,14.0,Jared McCann,Blocker,Pittsburgh Penguins,Jack Eichel,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:37Z,1,04:20,15:40,Blocked Shot,n/a,71.0,0.0,Patric Hornqvist,Blocker,Pittsburgh Penguins,Brandon Montour,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:08Z,1,04:51,15:09,Missed Shot,n/a,80.0,-11.0,Jeff Skinner,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:33Z,1,05:17,14:43,Hit,n/a,-69.0,-40.0,Henri Jokiharju,Hitter,Buffalo Sabres,Jack Johnson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:38Z,1,05:21,14:39,Shot,Tip-In,-76.0,-7.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:48Z,1,05:32,14:28,Shot,Wrist Shot,-33.0,30.0,Justin Schultz,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:55Z,1,05:38,14:22,Giveaway,n/a,-36.0,30.0,Jake McCabe,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:32Z,1,06:15,13:45,Missed Shot,n/a,47.0,23.0,Lawrence Pilut,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:20Z,1,06:39,13:21,Faceoff,n/a,69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:26Z,1,06:44,13:16,Blocked Shot,n/a,64.0,-14.0,Jack Johnson,Blocker,Pittsburgh Penguins,Victor Olofsson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:51Z,1,07:09,12:51,Shot,Snap Shot,-58.0,13.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:56Z,1,07:14,12:46,Shot,Snap Shot,-52.0,-22.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:04Z,1,07:22,12:38,Shot,Tip-In,-73.0,0.0,Patrick Marleau,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:08Z,1,07:26,12:34,Shot,Wrist Shot,-74.0,-1.0,Patrick Marleau,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:28Z,1,07:28,12:32,Missed Shot,n/a,-58.0,3.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:14Z,1,07:31,12:29,Shot,Wrist Shot,-44.0,-21.0,Kris Letang,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:38Z,1,07:54,12:06,Shot,Wrist Shot,-67.0,6.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:17:10Z,1,07:56,12:04,Goal,Backhand,-73.0,-2.0,Patric Hornqvist,Scorer,Pittsburgh Penguins,Nick Bjugstad,Assist,Pittsburgh Penguins,Jared McCann,Assist,Pittsburgh Penguins,Jonas Johansson,Goalie,Buffalo Sabres
2020-03-06T00:20:34Z,1,07:56,12:04,Penalty,Missing key [PD_151],-12.0,41.0,Jimmy Vesey,PenaltyOn,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:20:41Z,1,07:56,12:04,Faceoff,n/a,0.0,0.0,Curtis Lazar,Winner,Buffalo Sabres,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:20:48Z,1,08:04,11:56,Shot,Wrist Shot,28.0,-3.0,Lawrence Pilut,Shooter,Buffalo Sabres,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:20:52Z,1,08:08,11:52,Shot,Backhand,80.0,-1.0,Zemgus Girgensons,Shooter,Buffalo Sabres,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
