Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T00:10:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nate Thompson,Winner,Philadelphia Flyers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:26Z,1,00:18,19:42,Faceoff,n/a,-69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:42Z,1,00:26,19:34,Missed Shot,n/a,-35.0,-27.0,Robert Hagg,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:11:44Z,1,00:28,19:32,Hit,n/a,-44.0,38.0,Ryan Dzingel,Hitter,Carolina Hurricanes,Justin Braun,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:09Z,1,00:36,19:24,Faceoff,n/a,-69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:31Z,1,00:46,19:14,Giveaway,n/a,31.0,-28.0,Ivan Provorov,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:34Z,1,00:49,19:11,Shot,Wrist Shot,52.0,-29.0,Justin Williams,Shooter,Carolina Hurricanes,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:56Z,1,01:10,18:50,Shot,Wrist Shot,-53.0,27.0,Kevin Hayes,Shooter,Philadelphia Flyers,Alex Nedeljkovic,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:16Z,1,01:10,18:50,Faceoff,n/a,-69.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:31Z,1,01:21,18:39,Hit,n/a,97.0,-19.0,Travis Sanheim,Hitter,Philadelphia Flyers,Sebastian Aho,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:50Z,1,01:40,18:20,Missed Shot,n/a,31.0,19.0,Joel Edmundson,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:18Z,1,02:07,17:53,Takeaway,n/a,-33.0,25.0,Tyler Pitlick,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:31Z,1,02:21,17:39,Hit,n/a,28.0,37.0,Robert Hagg,Hitter,Philadelphia Flyers,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:47Z,1,02:24,17:36,Hit,n/a,97.0,-19.0,Jordan Martinook,Hitter,Carolina Hurricanes,Justin Braun,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:40Z,1,02:30,17:30,Missed Shot,n/a,50.0,38.0,Jake Gardiner,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:47Z,1,02:37,17:23,Hit,n/a,-93.0,-26.0,Tyler Pitlick,Hitter,Philadelphia Flyers,Jake Gardiner,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:09Z,1,02:59,17:01,Hit,n/a,-29.0,39.0,Jordan Staal,Hitter,Carolina Hurricanes,Matt Niskanen,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:36Z,1,03:04,16:56,Faceoff,n/a,20.0,-22.0,Vincent Trocheck,Winner,Carolina Hurricanes,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
