Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T03:38:33Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikko Koivu,Winner,Minnesota Wild,Antti Suomela,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:13Z,1,00:24,19:36,Shot,Backhand,86.0,19.0,Melker Karlsson,Shooter,San Jose Sharks,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:18Z,1,00:30,19:30,Takeaway,n/a,5.0,-40.0,Melker Karlsson,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:33Z,1,00:45,19:15,Blocked Shot,n/a,-62.0,9.0,Marc-Edouard Vlasic,Blocker,San Jose Sharks,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:48Z,1,01:00,19:00,Hit,n/a,48.0,37.0,Noah Gregor,Hitter,San Jose Sharks,Matt Dumba,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:40:08Z,1,01:20,18:40,Blocked Shot,n/a,-80.0,9.0,Logan Couture,Blocker,San Jose Sharks,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:40:27Z,1,01:39,18:21,Hit,n/a,-99.0,0.0,Mario Ferraro,Hitter,San Jose Sharks,Kevin Fiala,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:06Z,1,01:55,18:05,Faceoff,n/a,20.0,22.0,Joe Thornton,Winner,San Jose Sharks,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:16Z,1,02:05,17:55,Hit,n/a,96.0,17.0,Jared Spurgeon,Hitter,Minnesota Wild,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:21Z,1,02:10,17:50,Missed Shot,n/a,74.0,-19.0,Tim Heed,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
