Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T00:10:13Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:09:50Z,1,00:19,19:41,Blocked Shot,n/a,78.0,0.0,Shea Weber,Blocker,Montréal Canadiens,Anthony Cirelli,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:08Z,1,00:20,19:40,Faceoff,n/a,69.0,-22.0,Phillip Danault,Winner,Montréal Canadiens,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:33Z,1,00:31,19:29,Shot,Wrist Shot,-50.0,20.0,Artturi Lehkonen,Shooter,Montréal Canadiens,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:10:57Z,1,00:49,19:11,Goal,Wrist Shot,45.0,1.0,Victor Hedman,Scorer,Tampa Bay Lightning,Nikita Kucherov,Assist,Tampa Bay Lightning,Erik Cernak,Assist,Tampa Bay Lightning,Carey Price,Goalie,Montréal Canadiens
2020-03-06T00:11:33Z,1,00:49,19:11,Faceoff,n/a,0.0,0.0,Barclay Goodrow,Winner,Tampa Bay Lightning,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:12:29Z,1,01:42,18:18,Shot,Wrist Shot,42.0,-28.0,Zach Bogosian,Shooter,Tampa Bay Lightning,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:13:38Z,1,02:51,17:09,Shot,Wrist Shot,-80.0,-6.0,Paul Byron,Shooter,Montréal Canadiens,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:14Z,1,03:26,16:34,Shot,Wrist Shot,49.0,-23.0,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:21Z,1,03:32,16:28,Shot,Wrist Shot,28.0,-21.0,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:14:50Z,1,03:32,16:28,Faceoff,n/a,69.0,-22.0,Mitchell Stephens,Winner,Tampa Bay Lightning,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:06Z,1,03:46,16:14,Missed Shot,n/a,-37.0,8.0,Artturi Lehkonen,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:15:49Z,1,04:29,15:31,Hit,n/a,85.0,-35.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Xavier Ouellet,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:07Z,1,04:47,15:13,Hit,n/a,83.0,34.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Max Domi,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:08Z,1,04:48,15:12,Shot,Wrist Shot,-66.0,-3.0,Max Domi,Shooter,Montréal Canadiens,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T00:16:20Z,1,04:59,15:01,Penalty,Interference,-79.0,-1.0,Zach Bogosian,PenaltyOn,Tampa Bay Lightning,Jordan Weal,DrewBy,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
