Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-07T18:08:00Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mathew Barzal,Winner,New York Islanders,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:08:22Z,1,00:25,19:35,Hit,n/a,-60.0,1.0,Sebastian Aho,Hitter,Carolina Hurricanes,Anders Lee,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:08:24Z,1,00:28,19:32,Blocked Shot,n/a,-57.0,8.0,Anders Lee,Blocker,New York Islanders,Sebastian Aho,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:08:42Z,1,00:40,19:20,Shot,Wrist Shot,-53.0,-14.0,Teuvo Teravainen,Shooter,Carolina Hurricanes,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:09:04Z,1,00:49,19:11,Faceoff,n/a,-69.0,-22.0,Brock McGinn,Winner,Carolina Hurricanes,Mathew Barzal,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:09:49Z,1,01:10,18:50,Faceoff,n/a,-69.0,-22.0,Mathew Barzal,Winner,New York Islanders,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:11Z,1,01:17,18:43,Hit,n/a,-96.0,-1.0,Justin Williams,Hitter,Carolina Hurricanes,Nick Leddy,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:22Z,1,01:28,18:32,Takeaway,n/a,-49.0,30.0,Nick Leddy,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:59Z,1,01:49,18:11,Faceoff,n/a,-20.0,22.0,Vincent Trocheck,Winner,Carolina Hurricanes,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:03Z,1,02:22,17:38,Faceoff,n/a,-20.0,22.0,Jordan Martinook,Winner,Carolina Hurricanes,Derick Brassard,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:24Z,1,02:43,17:17,Giveaway,n/a,96.0,-8.0,Leo Komarov,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:31Z,1,02:50,17:10,Giveaway,n/a,31.0,-41.0,Haydn Fleury,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:02Z,1,03:20,16:40,Giveaway,n/a,52.0,-39.0,Mathew Barzal,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:19Z,1,03:38,16:22,Shot,Wrist Shot,77.0,5.0,Jordan Eberle,Shooter,New York Islanders,Anton Forsberg,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:23Z,1,03:42,16:18,Hit,n/a,93.0,25.0,Joel Edmundson,Hitter,Carolina Hurricanes,Jordan Eberle,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:33Z,1,03:52,16:08,Blocked Shot,n/a,73.0,2.0,Jaccob Slavin,Blocker,Carolina Hurricanes,Jordan Eberle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:37Z,1,03:56,16:04,Giveaway,n/a,55.0,-40.0,Jordan Eberle,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:02Z,1,04:20,15:40,Blocked Shot,n/a,52.0,-20.0,Jordan Staal,Blocker,Carolina Hurricanes,Ryan Pulock,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:03Z,1,04:22,15:38,Giveaway,n/a,34.0,-5.0,Brock Nelson,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:12Z,1,04:31,15:29,Hit,n/a,-83.0,-36.0,Ryan Pulock,Hitter,New York Islanders,Jake Gardiner,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:16Z,1,04:35,15:25,Hit,n/a,-52.0,38.0,Jordan Staal,Hitter,Carolina Hurricanes,Josh Bailey,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:28Z,1,04:47,15:13,Takeaway,n/a,-20.0,-15.0,Warren Foegele,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:36Z,1,04:55,15:05,Hit,n/a,95.0,18.0,Andrew Ladd,Hitter,New York Islanders,Haydn Fleury,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:44Z,1,05:02,14:58,Giveaway,n/a,40.0,38.0,Jean-Gabriel Pageau,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:01Z,1,05:18,14:42,Shot,Wrist Shot,-54.0,-11.0,Nino Niederreiter,Shooter,Carolina Hurricanes,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:24Z,1,05:18,14:42,Faceoff,n/a,-69.0,-22.0,Derick Brassard,Winner,New York Islanders,Jordan Martinook,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:45Z,1,05:34,14:26,Giveaway,n/a,99.0,-4.0,Anton Forsberg,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:51Z,1,05:40,14:20,Hit,n/a,54.0,-40.0,Noah Dobson,Hitter,New York Islanders,Ryan Dzingel,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:36Z,1,05:56,14:04,Faceoff,n/a,69.0,22.0,Anders Lee,Winner,New York Islanders,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:52Z,1,06:08,13:52,Blocked Shot,n/a,73.0,10.0,Teuvo Teravainen,Blocker,Carolina Hurricanes,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
