Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-07T18:10:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nicklas Backstrom,Winner,Washington Capitals,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:24Z,1,00:05,19:55,Faceoff,n/a,69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:42Z,1,00:10,19:50,Blocked Shot,n/a,46.0,26.0,T.J. Oshie,Blocker,Washington Capitals,Brian Dumoulin,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:10:55Z,1,00:13,19:47,Faceoff,n/a,69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:11:08Z,1,00:16,19:44,Shot,Wrist Shot,53.0,32.0,Conor Sheary,Shooter,Pittsburgh Penguins,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:11:28Z,1,00:17,19:43,Faceoff,n/a,69.0,22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:11:52Z,1,00:38,19:22,Blocked Shot,n/a,-74.0,-5.0,John Marino,Blocker,Pittsburgh Penguins,Evgeny Kuznetsov,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:12Z,1,00:57,19:03,Hit,n/a,-79.0,-40.0,Tom Wilson,Hitter,Washington Capitals,Jack Johnson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:25Z,1,01:10,18:50,Shot,Snap Shot,65.0,4.0,Jared McCann,Shooter,Pittsburgh Penguins,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:12:47Z,1,01:32,18:28,Giveaway,n/a,-35.0,-39.0,Nick Bjugstad,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:04Z,1,01:49,18:11,Shot,Tip-In,-2.0,3.0,Nic Dowd,Shooter,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:13:10Z,1,01:52,18:08,Goal,Snap Shot,-69.0,2.0,Nic Dowd,Scorer,Washington Capitals,Garnet Hathaway,Assist,Washington Capitals,Richard Panik,Assist,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins
2020-03-07T18:13:41Z,1,01:52,18:08,Faceoff,n/a,0.0,0.0,Nic Dowd,Winner,Washington Capitals,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:26Z,1,02:03,17:57,Penalty,Roughing,34.0,-23.0,Sam Lafferty,PenaltyOn,Pittsburgh Penguins,Jonas Siegenthaler,DrewBy,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:14:47Z,1,02:03,17:57,Penalty,Roughing,41.0,-26.0,Jonas Siegenthaler,PenaltyOn,Washington Capitals,Sam Lafferty,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:10Z,1,02:03,17:57,Faceoff,n/a,69.0,22.0,Nicklas Backstrom,Winner,Washington Capitals,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:15:41Z,1,02:48,17:12,Shot,Wrist Shot,-57.0,9.0,Nicklas Backstrom,Shooter,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:21Z,1,03:28,16:32,Hit,n/a,-70.0,42.0,Marcus Pettersson,Hitter,Pittsburgh Penguins,Tom Wilson,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:27Z,1,03:35,16:25,Hit,n/a,-60.0,-42.0,Evgeni Malkin,Hitter,Pittsburgh Penguins,Dmitry Orlov,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:38Z,1,03:45,16:15,Giveaway,n/a,56.0,-40.0,Bryan Rust,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:16:53Z,1,03:58,16:02,Shot,Wrist Shot,-44.0,4.0,Michal Kempny,Shooter,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:17:17Z,1,03:59,16:01,Faceoff,n/a,-69.0,22.0,Sidney Crosby,Winner,Pittsburgh Penguins,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:17:45Z,1,04:23,15:37,Shot,Tip-In,78.0,0.0,Jason Zucker,Shooter,Pittsburgh Penguins,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:17:50Z,1,04:29,15:31,Hit,n/a,52.0,31.0,Alex Ovechkin,Hitter,Washington Capitals,Jason Zucker,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:18:23Z,1,04:52,15:08,Hit,n/a,-73.0,-40.0,Jack Johnson,Hitter,Pittsburgh Penguins,Garnet Hathaway,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:18:37Z,1,05:15,14:45,Shot,Tip-In,-79.0,-3.0,Garnet Hathaway,Shooter,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:18:43Z,1,05:22,14:38,Giveaway,n/a,-98.0,12.0,Lars Eller,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:19:09Z,1,05:27,14:33,Faceoff,n/a,69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:20:40Z,1,05:59,14:01,Faceoff,n/a,-69.0,-22.0,Jakub Vrana,Winner,Washington Capitals,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:20:31Z,1,06:04,13:56,Blocked Shot,n/a,-44.0,-8.0,Bryan Rust,Blocker,Pittsburgh Penguins,Brenden Dillon,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T18:20:45Z,1,06:17,13:43,Shot,Snap Shot,-45.0,36.0,John Carlson,Shooter,Washington Capitals,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
