Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-07T03:11:38Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:12:29Z,1,00:23,19:37,Blocked Shot,n/a,45.0,22.0,Loui Eriksson,Blocker,Vancouver Canucks,Ryan Graves,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:12:36Z,1,00:30,19:30,Blocked Shot,n/a,66.0,-4.0,Bo Horvat,Blocker,Vancouver Canucks,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:13:02Z,1,00:56,19:04,Shot,Wrist Shot,-10.0,-19.0,J.T. Miller,Shooter,Vancouver Canucks,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:13:18Z,1,00:57,19:03,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:13:52Z,1,01:22,18:38,Goal,Snap Shot,-61.0,17.0,Troy Stecher,Scorer,Vancouver Canucks,J.T. Miller,Assist,Vancouver Canucks,Alexander Edler,Assist,Vancouver Canucks,Pavel Francouz,Goalie,Colorado Avalanche
2020-03-07T03:14:31Z,1,01:22,18:38,Faceoff,n/a,0.0,0.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:14:48Z,1,01:36,18:24,Hit,n/a,-28.0,40.0,Tyler Motte,Hitter,Vancouver Canucks,Pierre-Edouard Bellemare,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:14:54Z,1,01:39,18:21,Shot,Slap Shot,53.0,-20.0,Mark Barberio,Shooter,Colorado Avalanche,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:15:04Z,1,01:39,18:21,Faceoff,n/a,69.0,-22.0,Brandon Sutter,Winner,Vancouver Canucks,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:15:24Z,1,01:43,18:17,Blocked Shot,n/a,66.0,-6.0,Tyler Motte,Blocker,Vancouver Canucks,Valeri Nichushkin,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:15:29Z,1,01:49,18:11,Shot,Wrist Shot,64.0,-20.0,Matt Nieto,Shooter,Colorado Avalanche,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:15:52Z,1,02:11,17:49,Hit,n/a,-43.0,42.0,Zack MacEwen,Hitter,Vancouver Canucks,Kevin Connauton,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:16:01Z,1,02:21,17:39,Hit,n/a,-98.0,0.0,Antoine Roussel,Hitter,Vancouver Canucks,Mark Barberio,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:16:05Z,1,02:25,17:35,Hit,n/a,-98.0,9.0,Zack MacEwen,Hitter,Vancouver Canucks,Mark Barberio,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:16:18Z,1,02:37,17:23,Shot,Wrist Shot,62.0,23.0,Logan O'Connor,Shooter,Colorado Avalanche,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:17:00Z,1,02:37,17:23,Faceoff,n/a,69.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Gabriel Landeskog,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:17:22Z,1,02:46,17:14,Takeaway,n/a,17.0,-38.0,Loui Eriksson,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:17:28Z,1,02:52,17:08,Hit,n/a,-98.0,-10.0,Bo Horvat,Hitter,Vancouver Canucks,Ryan Graves,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:17:37Z,1,03:01,16:59,Blocked Shot,n/a,-45.0,-21.0,Vladislav Namestnikov,Blocker,Colorado Avalanche,Quinn Hughes,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:17:49Z,1,03:13,16:47,Hit,n/a,-41.0,39.0,Ryan Graves,Hitter,Colorado Avalanche,Loui Eriksson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:18:13Z,1,03:37,16:23,Hit,n/a,-98.0,-22.0,J.T. Miller,Hitter,Vancouver Canucks,Ian Cole,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:18:22Z,1,03:46,16:14,Hit,n/a,-98.0,13.0,Erik Johnson,Hitter,Colorado Avalanche,J.T. Miller,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:18:27Z,1,03:51,16:09,Blocked Shot,n/a,-51.0,-22.0,Joonas Donskoi,Blocker,Colorado Avalanche,Oscar Fantenberg,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:18:32Z,1,03:56,16:04,Shot,Deflected,-59.0,10.0,J.T. Miller,Shooter,Vancouver Canucks,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:18:53Z,1,03:56,16:04,Faceoff,n/a,-69.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:19:29Z,1,04:19,15:41,Missed Shot,n/a,64.0,-1.0,Valeri Nichushkin,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:19:51Z,1,04:19,15:41,Faceoff,n/a,69.0,-22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:20:11Z,1,04:32,15:28,Blocked Shot,n/a,-53.0,-21.0,Samuel Girard,Blocker,Colorado Avalanche,Bo Horvat,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:20:22Z,1,04:42,15:18,Shot,Wrist Shot,-73.0,-15.0,Tanner Pearson,Shooter,Vancouver Canucks,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:20:40Z,1,04:42,15:18,Faceoff,n/a,-69.0,-22.0,J.T. Compher,Winner,Colorado Avalanche,J.T. Miller,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:21:05Z,1,04:48,15:12,Hit,n/a,-53.0,41.0,Tyson Jost,Hitter,Colorado Avalanche,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:21:25Z,1,05:11,14:49,Blocked Shot,n/a,76.0,0.0,Christopher Tanev,Blocker,Vancouver Canucks,Joonas Donskoi,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-07T03:21:32Z,1,05:12,14:48,Blocked Shot,n/a,83.0,2.0,Christopher Tanev,Blocker,Vancouver Canucks,Joonas Donskoi,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
