Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-08T00:10:08Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Cedric Paquette,Winner,Tampa Bay Lightning,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:10:44Z,1,00:13,19:47,Faceoff,n/a,-69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:11:29Z,1,00:31,19:29,Shot,Wrist Shot,-19.0,-27.0,Patrice Bergeron,Shooter,Boston Bruins,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:11:14Z,1,00:38,19:22,Takeaway,n/a,-45.0,33.0,Anthony Cirelli,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:11:38Z,1,00:59,19:01,Blocked Shot,n/a,74.0,-12.0,Kevin Shattenkirk,Blocker,Tampa Bay Lightning,Torey Krug,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:12:07Z,1,01:31,18:29,Hit,n/a,94.0,8.0,Barclay Goodrow,Hitter,Tampa Bay Lightning,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:12:49Z,1,02:13,17:47,Takeaway,n/a,-56.0,-39.0,Matt Grzelcyk,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:12:53Z,1,02:17,17:43,Hit,n/a,-72.0,-22.0,Ondrej Palat,Hitter,Tampa Bay Lightning,Matt Grzelcyk,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:21Z,1,02:45,17:15,Blocked Shot,n/a,-73.0,-10.0,John Moore,Blocker,Boston Bruins,Victor Hedman,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:26Z,1,02:50,17:10,Shot,Slap Shot,40.0,-15.0,David Krejci,Shooter,Boston Bruins,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:40Z,1,03:04,16:56,Giveaway,n/a,55.0,37.0,David Krejci,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:41Z,1,03:05,16:55,Hit,n/a,63.0,37.0,Victor Hedman,Hitter,Tampa Bay Lightning,David Krejci,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:56Z,1,03:20,16:40,Shot,Wrist Shot,53.0,12.0,David Pastrnak,Shooter,Boston Bruins,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:14:11Z,1,03:35,16:25,Hit,n/a,-69.0,-34.0,Anthony Cirelli,Hitter,Tampa Bay Lightning,Patrice Bergeron,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:14:19Z,1,03:43,16:17,Giveaway,n/a,82.0,-17.0,Brad Marchand,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:14:46Z,1,04:10,15:50,Blocked Shot,n/a,-72.0,8.0,Zdeno Chara,Blocker,Boston Bruins,Brayden Point,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
