Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-08T03:16:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:16:55Z,1,00:32,19:28,Giveaway,n/a,-45.0,12.0,Adam Larsson,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:16:58Z,1,00:33,19:27,Takeaway,n/a,-45.0,20.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:17:05Z,1,00:37,19:23,Giveaway,n/a,-70.0,-16.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:17:06Z,1,00:44,19:16,Missed Shot,n/a,-80.0,9.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:18:12Z,1,00:45,19:15,Hit,n/a,-30.0,-34.0,Alexander Wennberg,Hitter,Columbus Blue Jackets,Adam Larsson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:17:37Z,1,01:14,18:46,Blocked Shot,n/a,-80.0,0.0,Ethan Bear,Blocker,Edmonton Oilers,Nick Foligno,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:18:16Z,1,01:32,18:28,Faceoff,n/a,-20.0,-22.0,Riley Sheahan,Winner,Edmonton Oilers,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:19:06Z,1,02:18,17:42,Hit,n/a,86.0,34.0,Eric Robinson,Hitter,Columbus Blue Jackets,Riley Sheahan,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:19:21Z,1,02:34,17:26,Hit,n/a,-81.0,-32.0,Stefan Matteau,Hitter,Columbus Blue Jackets,Caleb Jones,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:19:27Z,1,02:37,17:23,Hit,n/a,89.0,33.0,Jujhar Khaira,Hitter,Edmonton Oilers,Devin Shore,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T03:19:56Z,1,03:08,16:52,Goal,Slap Shot,36.0,-24.0,Alex Chiasson,Scorer,Edmonton Oilers,Jujhar Khaira,Assist,Edmonton Oilers,James Neal,Assist,Edmonton Oilers,Joonas Korpisalo,Goalie,Columbus Blue Jackets
2020-03-08T03:20:47Z,1,03:08,16:52,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
