Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-08T00:08:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:09:25Z,1,00:06,19:54,Takeaway,n/a,22.0,-29.0,Jeff Skinner,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:10:14Z,1,01:14,18:46,Giveaway,n/a,-66.0,-5.0,Henri Jokiharju,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:10:47Z,1,01:47,18:13,Missed Shot,n/a,85.0,-8.0,Marcus Johansson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:10:54Z,1,01:51,18:09,Penalty,Tripping,95.0,-2.0,Travis Sanheim,PenaltyOn,Philadelphia Flyers,Marcus Johansson,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:11:43Z,1,01:51,18:09,Faceoff,n/a,69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:12:31Z,1,02:44,17:16,Giveaway,n/a,-4.0,0.0,Rasmus Dahlin,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:02Z,1,03:14,16:46,Hit,n/a,15.0,38.0,Wayne Simmonds,Hitter,Buffalo Sabres,Kevin Hayes,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:47Z,1,03:59,16:01,Takeaway,n/a,15.0,39.0,Travis Sanheim,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:13:54Z,1,04:06,15:54,Hit,n/a,26.0,-39.0,Robert Hagg,Hitter,Philadelphia Flyers,Zemgus Girgensons,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:14:20Z,1,04:32,15:28,Hit,n/a,35.0,28.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Sean Couturier,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:14:55Z,1,05:07,14:53,Shot,Wrist Shot,35.0,-29.0,Henri Jokiharju,Shooter,Buffalo Sabres,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:15:22Z,1,05:07,14:53,Faceoff,n/a,69.0,-22.0,Sam Reinhart,Winner,Buffalo Sabres,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:15:41Z,1,05:11,14:49,Blocked Shot,n/a,47.0,-16.0,Joel Farabee,Blocker,Philadelphia Flyers,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:15:44Z,1,05:13,14:47,Hit,n/a,21.0,-41.0,Henri Jokiharju,Hitter,Buffalo Sabres,Joel Farabee,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:15:57Z,1,05:23,14:37,Giveaway,n/a,-20.0,-26.0,Henri Jokiharju,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:16:10Z,1,05:40,14:20,Giveaway,n/a,-20.0,10.0,Jack Eichel,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:16:14Z,1,05:44,14:16,Blocked Shot,n/a,-69.0,-11.0,Colin Miller,Blocker,Buffalo Sabres,Travis Konecny,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:16:26Z,1,05:51,14:09,Shot,Snap Shot,63.0,-7.0,Sam Reinhart,Shooter,Buffalo Sabres,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:16:45Z,1,05:51,14:09,Faceoff,n/a,69.0,22.0,Derek Grant,Winner,Philadelphia Flyers,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:17:13Z,1,06:09,13:51,Takeaway,n/a,-37.0,5.0,Derek Grant,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:17:16Z,1,06:12,13:48,Hit,n/a,-88.0,-31.0,Tyler Pitlick,Hitter,Philadelphia Flyers,Rasmus Dahlin,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:17:27Z,1,06:23,13:37,Hit,n/a,36.0,-31.0,Ivan Provorov,Hitter,Philadelphia Flyers,Marcus Johansson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:17:35Z,1,06:31,13:29,Missed Shot,n/a,-70.0,37.0,Matt Niskanen,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-08T00:17:56Z,1,06:52,13:08,Hit,n/a,22.0,-37.0,Robert Hagg,Hitter,Philadelphia Flyers,Kyle Okposo,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
