Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-10T02:38:25Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:39:52Z,1,00:54,19:06,Shot,Tip-In,-17.0,2.0,Adrian Kempe,Shooter,Los Angeles Kings,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:39:56Z,1,00:55,19:05,Faceoff,n/a,-69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:40:21Z,1,01:00,19:00,Blocked Shot,n/a,-47.0,-4.0,J.T. Compher,Blocker,Colorado Avalanche,Adrian Kempe,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:40:27Z,1,01:02,18:58,Blocked Shot,n/a,-42.0,-14.0,J.T. Compher,Blocker,Colorado Avalanche,Adrian Kempe,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:40:55Z,1,01:34,18:26,Blocked Shot,n/a,56.0,24.0,Matt Roy,Blocker,Los Angeles Kings,Erik Johnson,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:41:26Z,1,02:06,17:54,Hit,n/a,56.0,40.0,Austin Wagner,Hitter,Los Angeles Kings,Matt Nieto,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:42:01Z,1,02:35,17:25,Hit,n/a,-97.0,-10.0,Nikolai Prokhorkin,Hitter,Los Angeles Kings,Kevin Connauton,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:42:02Z,1,02:42,17:18,Shot,Wrist Shot,-87.0,-6.0,Nikolai Prokhorkin,Shooter,Los Angeles Kings,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:42:07Z,1,02:44,17:16,Shot,Wrist Shot,-76.0,0.0,Austin Wagner,Shooter,Los Angeles Kings,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:42:10Z,1,02:50,17:10,Hit,n/a,-69.0,28.0,Ian Cole,Hitter,Colorado Avalanche,Austin Wagner,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:42:52Z,1,03:31,16:29,Blocked Shot,n/a,-53.0,18.0,Logan O'Connor,Blocker,Colorado Avalanche,Mikey Anderson,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:43:12Z,1,03:49,16:11,Giveaway,n/a,94.0,-23.0,Trevor Lewis,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:43:37Z,1,03:52,16:08,Faceoff,n/a,20.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:44:08Z,1,04:22,15:38,Blocked Shot,n/a,39.0,29.0,Mikey Anderson,Blocker,Los Angeles Kings,Ryan Graves,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:44:46Z,1,04:57,15:03,Blocked Shot,n/a,-44.0,-10.0,J.T. Compher,Blocker,Colorado Avalanche,Trevor Moore,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:45:16Z,1,05:29,14:31,Giveaway,n/a,-95.0,-3.0,Pavel Francouz,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:45:34Z,1,05:48,14:12,Hit,n/a,34.0,-40.0,Drew Doughty,Hitter,Los Angeles Kings,Tyson Jost,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:46:12Z,1,06:26,13:34,Hit,n/a,-87.0,32.0,Ryan Graves,Hitter,Colorado Avalanche,Adrian Kempe,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:46:21Z,1,06:30,13:30,Penalty,Cross checking,-93.0,-24.0,Samuel Girard,PenaltyOn,Colorado Avalanche,Blake Lizotte,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:48:33Z,1,06:30,13:30,Faceoff,n/a,-69.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:49:26Z,1,07:17,12:43,Blocked Shot,n/a,-73.0,5.0,Ryan Graves,Blocker,Colorado Avalanche,Drew Doughty,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:50:37Z,1,08:29,11:31,Shot,Snap Shot,-82.0,20.0,Blake Lizotte,Shooter,Los Angeles Kings,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:50:48Z,1,08:35,11:25,Hit,n/a,-17.0,-24.0,Martin Frk,Hitter,Los Angeles Kings,Gabriel Landeskog,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:51:33Z,1,09:23,10:37,Shot,Wrist Shot,25.0,-1.0,Gabriel Landeskog,Shooter,Colorado Avalanche,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:51:41Z,1,09:33,10:27,Hit,n/a,4.0,-38.0,Vladislav Kamenev,Hitter,Colorado Avalanche,Nikolai Prokhorkin,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:51:57Z,1,09:45,10:15,Giveaway,n/a,95.0,-5.0,Ben Hutton,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:52:09Z,1,09:47,10:13,Blocked Shot,n/a,49.0,21.0,Anze Kopitar,Blocker,Los Angeles Kings,Samuel Girard,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:52:05Z,1,09:48,10:12,Hit,n/a,53.0,40.0,Logan O'Connor,Hitter,Colorado Avalanche,Dustin Brown,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T02:52:39Z,1,10:30,09:30,Hit,n/a,-92.0,27.0,Trevor Lewis,Hitter,Los Angeles Kings,Kevin Connauton,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
