Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-10T00:08:42Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:09:06Z,1,00:26,19:34,Shot,Slap Shot,-34.0,34.0,Blake Wheeler,Shooter,Winnipeg Jets,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:09:17Z,1,00:36,19:24,Missed Shot,n/a,36.0,34.0,Taylor Hall,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:09:31Z,1,00:49,19:11,Takeaway,n/a,20.0,-38.0,Nikolaj Ehlers,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:09:43Z,1,00:51,19:09,Faceoff,n/a,20.0,-22.0,Cody Eakin,Winner,Winnipeg Jets,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:10:16Z,1,01:11,18:49,Hit,n/a,5.0,-40.0,Carl Soderberg,Hitter,Arizona Coyotes,Nikolaj Ehlers,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:10:44Z,1,01:41,18:19,Shot,Wrist Shot,21.0,-27.0,Jason Demers,Shooter,Arizona Coyotes,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:11:04Z,1,02:01,17:59,Hit,n/a,96.0,-2.0,Adam Lowry,Hitter,Winnipeg Jets,Vinnie Hinostroza,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:11:43Z,1,02:07,17:53,Penalty,Fighting,9.0,0.0,Adam Lowry,PenaltyOn,Winnipeg Jets,Lawson Crouse,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:12:01Z,1,02:07,17:53,Penalty,Fighting,5.0,6.0,Lawson Crouse,PenaltyOn,Arizona Coyotes,Adam Lowry,DrewBy,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:12:15Z,1,02:07,17:53,Faceoff,n/a,-69.0,22.0,Nicholas Shore,Winner,Winnipeg Jets,Christian Fischer,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:12:37Z,1,02:13,17:47,Faceoff,n/a,-20.0,-22.0,Nicholas Shore,Winner,Winnipeg Jets,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:12:57Z,1,02:22,17:38,Hit,n/a,63.0,41.0,Christian Fischer,Hitter,Arizona Coyotes,Nathan Beaulieu,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-10T00:13:41Z,1,02:51,17:09,Faceoff,n/a,69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Taylor Hall,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
