Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-12T01:11:37Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:13:47Z,1,01:21,18:39,Hit,n/a,-36.0,-37.0,Adam Lowry,Hitter,Winnipeg Jets,Connor McDavid,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:14:05Z,1,01:39,18:21,Shot,Wrist Shot,67.0,23.0,Riley Sheahan,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:14:37Z,1,02:11,17:49,Hit,n/a,93.0,20.0,James Neal,Hitter,Edmonton Oilers,Nathan Beaulieu,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:15:05Z,1,02:39,17:21,Hit,n/a,27.0,-39.0,Dylan DeMelo,Hitter,Winnipeg Jets,James Neal,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:15:47Z,1,03:20,16:40,Shot,Wrist Shot,-56.0,12.0,Kyle Connor,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:05Z,1,03:20,16:40,Faceoff,n/a,-69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:14Z,1,03:25,16:35,Blocked Shot,n/a,-62.0,14.0,Tyler Ennis,Blocker,Edmonton Oilers,Neal Pionk,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:33Z,1,03:37,16:23,Shot,Slap Shot,62.0,22.0,Tyler Ennis,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:33Z,1,03:39,16:21,Blocked Shot,n/a,80.0,7.0,Neal Pionk,Blocker,Winnipeg Jets,Leon Draisaitl,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:33Z,1,03:40,16:20,Shot,Snap Shot,53.0,0.0,Kailer Yamamoto,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:16:55Z,1,04:05,15:55,Shot,Backhand,-83.0,-7.0,Mark Scheifele,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:17:26Z,1,04:36,15:24,Hit,n/a,-97.0,-19.0,Jack Roslovic,Hitter,Winnipeg Jets,Adam Larsson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:17:29Z,1,04:39,15:21,Shot,Wrist Shot,-43.0,-37.0,Adam Lowry,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:17:36Z,1,04:46,15:14,Blocked Shot,n/a,-69.0,0.0,Oscar Klefbom,Blocker,Edmonton Oilers,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:18:21Z,1,05:31,14:29,Hit,n/a,11.0,-38.0,Josh Archibald,Hitter,Edmonton Oilers,Nikolaj Ehlers,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:01Z,1,06:12,13:48,Giveaway,n/a,-16.0,40.0,Jujhar Khaira,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:11Z,1,06:21,13:39,Shot,Snap Shot,-56.0,22.0,Nicholas Shore,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:23Z,1,06:33,13:27,Blocked Shot,n/a,-72.0,-2.0,Darnell Nurse,Blocker,Edmonton Oilers,Mathieu Perreault,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:36Z,1,06:47,13:13,Shot,Slap Shot,-33.0,34.0,Neal Pionk,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:48Z,1,06:58,13:02,Hit,n/a,48.0,-42.0,Neal Pionk,Hitter,Winnipeg Jets,James Neal,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:19:58Z,1,07:08,12:52,Hit,n/a,60.0,-37.0,Kailer Yamamoto,Hitter,Edmonton Oilers,Neal Pionk,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:20:17Z,1,07:12,12:48,Giveaway,n/a,-98.0,5.0,Adam Larsson,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:20:08Z,1,07:18,12:42,Shot,Wrist Shot,-58.0,-1.0,Blake Wheeler,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:22:29Z,1,07:18,12:42,Faceoff,n/a,-69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:22:25Z,1,07:24,12:36,Missed Shot,n/a,-32.0,-16.0,Josh Morrissey,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:22:33Z,1,07:31,12:29,Hit,n/a,-98.0,1.0,Adam Larsson,Hitter,Edmonton Oilers,Mark Scheifele,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:22:46Z,1,07:44,12:16,Blocked Shot,n/a,-82.0,-9.0,Oscar Klefbom,Blocker,Edmonton Oilers,Kyle Connor,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:26Z,1,08:24,11:36,Shot,Wrist Shot,-57.0,-20.0,Adam Lowry,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:32Z,1,08:30,11:30,Takeaway,n/a,-99.0,0.0,Andrew Copp,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:35Z,1,08:33,11:27,Shot,Snap Shot,-63.0,-20.0,Adam Lowry,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:40Z,1,08:38,11:22,Shot,Slap Shot,-34.0,12.0,Neal Pionk,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:44Z,1,08:38,11:22,Takeaway,n/a,-34.0,34.0,Neal Pionk,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:54Z,1,08:52,11:08,Takeaway,n/a,40.0,16.0,Ryan Nugent-Hopkins,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:23:59Z,1,08:57,11:03,Hit,n/a,95.0,20.0,Zack Kassian,Hitter,Edmonton Oilers,Dmitry Kulikov,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:24:09Z,1,09:07,10:53,Takeaway,n/a,31.0,36.0,Nikolaj Ehlers,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:24:18Z,1,09:16,10:44,Shot,Wrist Shot,-57.0,-23.0,Nikolaj Ehlers,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:24:55Z,1,09:16,10:44,Faceoff,n/a,-69.0,-22.0,Cody Eakin,Winner,Winnipeg Jets,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:24:56Z,1,09:20,10:40,Faceoff,n/a,-20.0,-22.0,Cody Eakin,Winner,Winnipeg Jets,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:25:59Z,1,10:05,09:55,Giveaway,n/a,-56.0,-37.0,Caleb Jones,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:27:24Z,1,11:30,08:30,Shot,Slap Shot,34.0,33.0,Oscar Klefbom,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:29:19Z,1,11:31,08:29,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:30:02Z,1,11:48,08:12,Hit,n/a,-95.0,-24.0,Darnell Nurse,Hitter,Edmonton Oilers,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-12T01:30:16Z,1,12:02,07:58,Takeaway,n/a,51.0,39.0,Connor McDavid,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
